donation_id,amount,created_at,campaign_id,donor_hash,_loaded_at
AB-1-00038,5.15,2026-03-12 03:00:00,fundraising_2026,sha256:832310f8b711e017,2026-07-10 17:40:38
AB-1-00039,49.86,2026-01-31 05:00:00,volunteer_drive,sha256:71ba59dd8593aa66,2026-07-10 17:40:38
AB-1-00040,45.02,2026-01-08 05:00:00,small_dollar,sha256:fc58e443cf4930ed,2026-07-10 17:40:38
AB-1-00041,51.97,2026-02-28 09:00:00,small_dollar,sha256:d7c3a0278c259d30,2026-07-10 17:40:38
AB-1-00042,5.08,2026-02-07 06:00:00,fundraising_2026,sha256:9b537bbfba674850,2026-07-10 17:40:38
AB-1-00043,99.54,2026-01-08 01:00:00,volunteer_drive,sha256:e0a88f0e229bf5f5,2026-07-10 17:40:38
AB-1-00044,9.14,2026-03-07 02:00:00,fundraising_2026,sha256:ccbadaacec2ea0dc,2026-07-10 17:40:38
AB-1-00045,5.44,2026-01-31 12:00:00,volunteer_drive,sha256:030a349456683298,2026-07-10 17:40:38
AB-1-00046,4.92,2026-01-06 19:00:00,gotv_march,sha256:d5e848ef628ac142,2026-07-10 17:40:38
AB-1-00047,240.71,2026-01-27 21:00:00,gotv_march,sha256:a6385265253d8121,2026-07-10 17:40:38
AB-1-00048,24.79,2026-03-27 20:00:00,fundraising_2026,sha256:737f620227335275,2026-07-10 17:40:38
AB-1-00049,4.57,2026-03-21 18:00:00,volunteer_drive,sha256:cca88181af2ce443,2026-07-10 17:40:38
AB-1-00050,5.38,2026-01-17 11:00:00,gotv_march,sha256:12eff448b8186228,2026-07-10 17:40:38
AB-1-00051,240.13,2026-02-26 17:00:00,fundraising_2026,sha256:3115f9aa9abc2dd1,2026-07-10 17:40:38
AB-1-00052,230.18,2026-03-12 09:00:00,volunteer_drive,sha256:ef09b443acbb8c1d,2026-07-10 17:40:38
AB-1-00053,93.11,2026-01-14 23:00:00,gotv_march,sha256:ab20d69a2dd3eb35,2026-07-10 17:40:38
AB-1-00054,256.71,2026-02-13 06:00:00,gotv_march,sha256:f17c6281606c107d,2026-07-10 17:40:38
AB-1-00055,5.13,2026-02-02 01:00:00,gotv_march,sha256:2d45490bce5ee800,2026-07-10 17:40:38
AB-1-00056,273.99,2026-02-12 04:00:00,volunteer_drive,sha256:1f4fc1bdc9211c71,2026-07-10 17:40:38
AB-1-00057,50.61,2026-03-12 22:00:00,fundraising_2026,sha256:612e4313a3dbeef1,2026-07-10 17:40:38
AB-1-00058,90.72,2026-03-30 04:00:00,gotv_march,sha256:d0581f95e248728d,2026-07-10 17:40:38
AB-1-00059,9.08,2026-01-19 13:00:00,gotv_march,sha256:89a623e607dbdeee,2026-07-10 17:40:38
AB-1-00060,10.36,2026-01-06 11:00:00,fundraising_2026,sha256:caae8a5abcb2b5c7,2026-07-10 17:40:38
AB-1-00061,104.99,2026-03-13 13:00:00,volunteer_drive,sha256:94cc56dd35b79929,2026-07-10 17:40:38
AB-1-00062,4.68,2026-01-23 13:00:00,gotv_march,sha256:287b4ac829f349ee,2026-07-10 17:40:38
AB-1-00063,265.54,2026-02-22 21:00:00,gotv_march,sha256:9130c1283f6091c9,2026-07-10 17:40:38
AB-1-00064,53.72,2026-03-31 03:00:00,small_dollar,sha256:816af13870341733,2026-07-10 17:40:38
AB-1-00065,26.6,2026-02-28 11:00:00,volunteer_drive,sha256:978411395bdf0e06,2026-07-10 17:40:38
AB-1-00066,48.28,2026-03-26 06:00:00,fundraising_2026,sha256:500b86f716bcf8c5,2026-07-10 17:40:38
AB-1-00067,250.47,2026-02-05 11:00:00,gotv_march,sha256:79d871f030d41007,2026-07-10 17:40:38
AB-1-00068,10.16,2026-01-15 08:00:00,gotv_march,sha256:4239cb09fc44c01b,2026-07-10 17:40:38
AB-1-00069,26.14,2026-03-18 13:00:00,gotv_march,sha256:7182b76fd580309b,2026-07-10 17:40:38
AB-1-00070,54.0,2026-03-07 03:00:00,volunteer_drive,sha256:8c7e35416aea5c0b,2026-07-10 17:40:38
AB-1-00071,108.51,2026-02-25 00:00:00,volunteer_drive,sha256:569e3d5da381696e,2026-07-10 17:40:38
AB-1-00072,25.62,2026-01-09 21:00:00,fundraising_2026,sha256:a0d041b8337869e6,2026-07-10 17:40:38
AB-1-00073,25.83,2026-02-08 16:00:00,gotv_march,sha256:36b6036726407cb2,2026-07-10 17:40:38
AB-1-00074,9.38,2026-02-07 17:00:00,small_dollar,sha256:6cb564ad0ebf85bf,2026-07-10 17:40:38
AB-1-00075,96.02,2026-01-23 19:00:00,fundraising_2026,sha256:b7bfca4d6c2d7349,2026-07-10 17:40:38
AB-1-00076,102.13,2026-01-27 13:00:00,gotv_march,sha256:4977097764e31871,2026-07-10 17:40:38
AB-1-00077,10.02,2026-02-26 21:00:00,volunteer_drive,sha256:5871aaa80829b515,2026-07-10 17:40:38
AB-1-00078,256.65,2026-02-06 16:00:00,gotv_march,sha256:2a39e817243384d1,2026-07-10 17:40:38
AB-1-00079,23.62,2026-01-31 21:00:00,volunteer_drive,sha256:4bfdb8250fbe4006,2026-07-10 17:40:38
AB-1-00080,51.11,2026-01-06 07:00:00,fundraising_2026,sha256:642796744cce186a,2026-07-10 17:40:38
AB-1-00081,10.44,2026-03-22 18:00:00,small_dollar,sha256:95808f7e63a64f66,2026-07-10 17:40:38
AB-1-00082,259.38,2026-02-01 04:00:00,fundraising_2026,sha256:598f46c79361d66c,2026-07-10 17:40:38
AB-1-00083,250.9,2026-01-29 05:00:00,fundraising_2026,sha256:7925b28e4675cb3f,2026-07-10 17:40:38
AB-1-00084,10.6,2026-01-16 14:00:00,gotv_march,sha256:a3cb35f3921058c1,2026-07-10 17:40:38
AB-1-00085,269.6,2026-02-26 19:00:00,small_dollar,sha256:532ea0d4b9a127e8,2026-07-10 17:40:38
AB-1-00086,10.49,2026-03-12 14:00:00,small_dollar,sha256:99c537739f605a42,2026-07-10 17:40:38
AB-1-00087,26.33,2026-02-01 20:00:00,small_dollar,sha256:e99572a099373f3d,2026-07-10 17:40:38
AB-1-00088,5.21,2026-02-05 14:00:00,volunteer_drive,sha256:191f8f45b81afa55,2026-07-10 17:40:38
AB-1-00089,4.64,2026-02-10 17:00:00,volunteer_drive,sha256:d3990e62f1b1a6b1,2026-07-10 17:40:38
AB-1-00090,9.13,2026-01-20 22:00:00,small_dollar,sha256:82a4b4545b90e88a,2026-07-10 17:40:38
AB-1-00091,4.71,2026-03-01 13:00:00,small_dollar,sha256:8bc0b463817ea3e7,2026-07-10 17:40:38
AB-1-00092,5.36,2026-03-16 22:00:00,small_dollar,sha256:06581b7ac4678201,2026-07-10 17:40:38
AB-1-00093,53.53,2026-02-15 09:00:00,small_dollar,sha256:abd2c889df2f5dbf,2026-07-10 17:40:38
AB-1-00094,9.98,2026-03-11 19:00:00,gotv_march,sha256:5ef2926fbf08537c,2026-07-10 17:40:38
AB-1-00095,25.84,2026-01-04 12:00:00,small_dollar,sha256:7ff363b9125f402a,2026-07-10 17:40:38
AB-1-00096,100.68,2026-03-01 04:00:00,small_dollar,sha256:f848869736fe7b90,2026-07-10 17:40:38
AB-1-00097,5.14,2026-03-26 00:00:00,volunteer_drive,sha256:63f8e9dd9dde3176,2026-07-10 17:40:38
AB-1-00098,24.4,2026-01-24 01:00:00,volunteer_drive,sha256:d92c6774b92aac53,2026-07-10 17:40:38
AB-1-00099,26.26,2026-02-13 12:00:00,small_dollar,sha256:eddd9440d0b8bcd5,2026-07-10 17:40:38
AB-1-00100,5.25,2026-01-11 15:00:00,fundraising_2026,sha256:85f5f9ff5b02b1f3,2026-07-10 17:40:38
AB-1-00101,228.43,2026-02-14 07:00:00,fundraising_2026,sha256:6d6d15c1f994f107,2026-07-10 17:40:38
AB-1-00102,5.12,2026-02-01 06:00:00,volunteer_drive,sha256:94045020324c3b79,2026-07-10 17:40:38
AB-1-00103,108.96,2026-03-27 03:00:00,small_dollar,sha256:f02210b3df2f9941,2026-07-10 17:40:38
AB-1-00104,102.14,2026-02-17 05:00:00,fundraising_2026,sha256:605e1dc7c0b8bdd1,2026-07-10 17:40:38
AB-1-00105,5.08,2026-01-21 09:00:00,gotv_march,sha256:026a6793bda166ad,2026-07-10 17:40:38
AB-1-00106,234.92,2026-02-18 12:00:00,volunteer_drive,sha256:2c34161a903d7bb2,2026-07-10 17:40:38
AB-1-00107,106.11,2026-02-08 21:00:00,fundraising_2026,sha256:8858e25818fe6188,2026-07-10 17:40:38
AB-1-00108,22.84,2026-02-24 21:00:00,gotv_march,sha256:ce2b3d03cdc97dd9,2026-07-10 17:40:38
AB-1-00109,4.93,2026-02-23 15:00:00,gotv_march,sha256:98b4b5a288423ee4,2026-07-10 17:40:38
AB-1-00110,9.87,2026-02-28 22:00:00,gotv_march,sha256:836eac9dd024e6ce,2026-07-10 17:40:38
AB-1-00111,49.36,2026-03-10 15:00:00,gotv_march,sha256:808d8252a0df09da,2026-07-10 17:40:38
AB-1-00112,26.91,2026-02-01 02:00:00,volunteer_drive,sha256:bf361fc05522f776,2026-07-10 17:40:38
AB-1-00113,243.95,2026-03-14 19:00:00,fundraising_2026,sha256:e7de8a7e8d0bd8d9,2026-07-10 17:40:38
AB-1-00114,47.12,2026-02-11 05:00:00,gotv_march,sha256:46722057c9b29747,2026-07-10 17:40:38
AB-1-00115,25.28,2026-03-18 22:00:00,volunteer_drive,sha256:27bbea159082c93d,2026-07-10 17:40:38
AB-1-00116,105.16,2026-02-22 15:00:00,small_dollar,sha256:63e459a5c34d3bb6,2026-07-10 17:40:38
AB-1-00117,4.59,2026-03-04 14:00:00,volunteer_drive,sha256:06d586678df618b1,2026-07-10 17:40:38
AB-1-00118,254.08,2026-02-01 09:00:00,small_dollar,sha256:4667b08df57fea87,2026-07-10 17:40:38
AB-1-00119,252.52,2026-02-14 13:00:00,gotv_march,sha256:3b4deeb356a62874,2026-07-10 17:40:38
AB-1-00120,23.65,2026-02-04 09:00:00,volunteer_drive,sha256:06c0c750bc239b1e,2026-07-10 17:40:38
AB-1-00121,9.38,2026-03-10 22:00:00,small_dollar,sha256:feadc84603677eb9,2026-07-10 17:40:38
AB-1-00122,95.66,2026-03-17 16:00:00,fundraising_2026,sha256:e72127d599b0b131,2026-07-10 17:40:38
AB-1-00123,23.4,2026-02-07 07:00:00,fundraising_2026,sha256:0eb340b5d113bd88,2026-07-10 17:40:38
AB-1-00124,5.47,2026-01-17 08:00:00,gotv_march,sha256:24f289b265dbaff1,2026-07-10 17:40:38
AB-1-00125,46.03,2026-01-17 20:00:00,fundraising_2026,sha256:7bdff5925176ca48,2026-07-10 17:40:38
AB-1-00126,48.41,2026-03-02 15:00:00,fundraising_2026,sha256:606ca2403b8be9f0,2026-07-10 17:40:38
AB-1-00127,4.9,2026-03-03 03:00:00,fundraising_2026,sha256:86a8b7938c5a23a1,2026-07-10 17:40:38
AB-1-00128,9.3,2026-03-29 01:00:00,gotv_march,sha256:666ace15146b71fe,2026-07-10 17:40:38
AB-1-00129,105.29,2026-02-01 03:00:00,volunteer_drive,sha256:11da93c64b50c785,2026-07-10 17:40:38
AB-1-00130,47.97,2026-02-18 14:00:00,small_dollar,sha256:45662d4e63b39191,2026-07-10 17:40:38
AB-1-00131,109.2,2026-03-21 01:00:00,fundraising_2026,sha256:6e4595f22bbd42c3,2026-07-10 17:40:38
AB-1-00132,9.53,2026-01-27 20:00:00,fundraising_2026,sha256:c0e43428e9cd673d,2026-07-10 17:40:38
AB-1-00133,4.66,2026-01-23 17:00:00,small_dollar,sha256:ea35547366a07ab0,2026-07-10 17:40:38
AB-1-00134,22.66,2026-03-18 15:00:00,gotv_march,sha256:b90efbb4323b6048,2026-07-10 17:40:38
AB-1-00135,5.19,2026-03-31 14:00:00,gotv_march,sha256:f818afc953368fca,2026-07-10 17:40:38
AB-1-00136,265.2,2026-03-22 18:00:00,volunteer_drive,sha256:59e8d56cc3fa611d,2026-07-10 17:40:38
AB-1-00137,232.45,2026-03-11 07:00:00,gotv_march,sha256:8b199ed3e8986924,2026-07-10 17:40:38
AB-1-00138,10.59,2026-01-10 01:00:00,gotv_march,sha256:565c6c7023a4d51f,2026-07-10 17:40:38
AB-1-00139,26.0,2026-03-01 22:00:00,gotv_march,sha256:daf11e805e3b3c8a,2026-07-10 17:40:38
AB-1-00140,5.1,2026-03-05 14:00:00,small_dollar,sha256:5d6a0abcc7aa8352,2026-07-10 17:40:38
AB-1-00141,4.59,2026-03-19 08:00:00,fundraising_2026,sha256:49fae3ff1156c7c3,2026-07-10 17:40:38
AB-1-00142,90.8,2026-03-28 08:00:00,volunteer_drive,sha256:ebbd72786ad0da84,2026-07-10 17:40:38
AB-1-00143,23.41,2026-03-25 14:00:00,small_dollar,sha256:444081a25c5b72d0,2026-07-10 17:40:38
AB-1-00144,48.48,2026-03-04 02:00:00,gotv_march,sha256:bddf3052b4de8dab,2026-07-10 17:40:38
AB-1-00145,24.56,2026-01-14 05:00:00,small_dollar,sha256:3fa4c84918139fa9,2026-07-10 17:40:38
AB-1-00146,4.95,2026-02-21 17:00:00,gotv_march,sha256:02369d402112c252,2026-07-10 17:40:38
AB-1-00147,106.5,2026-01-15 12:00:00,fundraising_2026,sha256:4a6e5ca80bde8ede,2026-07-10 17:40:38
AB-1-00148,45.54,2026-03-11 14:00:00,gotv_march,sha256:edee649f3b42a6c1,2026-07-10 17:40:38
AB-1-00149,52.6,2026-03-05 20:00:00,volunteer_drive,sha256:38cc5d4494a8998c,2026-07-10 17:40:38
AB-1-00150,53.81,2026-01-17 09:00:00,small_dollar,sha256:b6c7151fd0fc6307,2026-07-10 17:40:38
AB-1-00151,10.42,2026-03-22 19:00:00,gotv_march,sha256:1ec9038d702b8003,2026-07-10 17:40:38
AB-1-00152,4.72,2026-03-12 13:00:00,fundraising_2026,sha256:ed722176b69272f2,2026-07-10 17:40:38
AB-1-00153,10.0,2026-01-16 20:00:00,gotv_march,sha256:b46f45824edb95b4,2026-07-10 17:40:38
AB-1-00154,54.8,2026-02-04 13:00:00,volunteer_drive,sha256:45f5ef7440b51f8d,2026-07-10 17:40:38
AB-1-00155,10.84,2026-01-19 12:00:00,volunteer_drive,sha256:89de30ddd712df11,2026-07-10 17:40:38
AB-1-00156,27.17,2026-02-05 13:00:00,gotv_march,sha256:d0870fd2e91da800,2026-07-10 17:40:38
AB-1-00157,26.69,2026-02-06 23:00:00,small_dollar,sha256:f5b781dd62590a26,2026-07-10 17:40:38
AB-1-00158,48.45,2026-02-27 17:00:00,small_dollar,sha256:f4769174d267cfee,2026-07-10 17:40:38
AB-1-00159,236.94,2026-02-11 06:00:00,small_dollar,sha256:85bfca3b8caa23db,2026-07-10 17:40:38
AB-1-00160,26.22,2026-02-22 01:00:00,small_dollar,sha256:930ed6622cb308fd,2026-07-10 17:40:38
AB-1-00161,9.99,2026-03-26 20:00:00,fundraising_2026,sha256:efac512018279680,2026-07-10 17:40:38
AB-1-00162,5.37,2026-03-17 10:00:00,small_dollar,sha256:b2b48619e4baa486,2026-07-10 17:40:38
AB-1-00163,232.21,2026-02-28 00:00:00,volunteer_drive,sha256:bcf1271330893078,2026-07-10 17:40:38
AB-1-00164,103.85,2026-02-03 10:00:00,fundraising_2026,sha256:5f4a0ddacddf1c54,2026-07-10 17:40:38
AB-1-00165,54.54,2026-03-28 17:00:00,small_dollar,sha256:507e54df8d06808a,2026-07-10 17:40:38
AB-1-00166,4.73,2026-01-05 19:00:00,gotv_march,sha256:2b4e57ff718a3c3a,2026-07-10 17:40:38
AB-1-00167,5.26,2026-01-12 13:00:00,fundraising_2026,sha256:e2ea9471e2e1962a,2026-07-10 17:40:38
AB-1-00168,4.55,2026-03-30 09:00:00,fundraising_2026,sha256:9b261a4bf140c45b,2026-07-10 17:40:38
AB-1-00169,9.49,2026-02-17 13:00:00,small_dollar,sha256:5ba9e09013788aae,2026-07-10 17:40:38
AB-1-00170,9.16,2026-01-24 05:00:00,small_dollar,sha256:aa56a59e6be8e1ae,2026-07-10 17:40:38
AB-1-00171,92.86,2026-01-31 15:00:00,small_dollar,sha256:c5b74da3b5a80441,2026-07-10 17:40:38
AB-1-00172,225.47,2026-02-28 08:00:00,small_dollar,sha256:2ca9b5e6893aa249,2026-07-10 17:40:38
AB-1-00173,9.15,2026-03-28 17:00:00,gotv_march,sha256:cabdd6fc64196b96,2026-07-10 17:40:38
AB-1-00174,51.9,2026-02-08 20:00:00,small_dollar,sha256:9ad665d880d8574d,2026-07-10 17:40:38
AB-1-00175,46.07,2026-01-26 12:00:00,small_dollar,sha256:9886699251bfe45b,2026-07-10 17:40:38
AB-1-00176,239.76,2026-03-15 09:00:00,small_dollar,sha256:b458444654b51202,2026-07-10 17:40:38
AB-1-00177,273.68,2026-03-14 21:00:00,small_dollar,sha256:1dee34d586b876e7,2026-07-10 17:40:38
AB-1-00178,106.04,2026-02-06 07:00:00,volunteer_drive,sha256:a363f9a27b7dac30,2026-07-10 17:40:38
AB-1-00179,262.78,2026-03-21 08:00:00,volunteer_drive,sha256:3dded4a03cbcdf18,2026-07-10 17:40:38
AB-1-00180,4.81,2026-03-22 20:00:00,small_dollar,sha256:ec938a08e4f25e94,2026-07-10 17:40:38
AB-1-00181,9.18,2026-02-16 23:00:00,gotv_march,sha256:5adda353e6e75abf,2026-07-10 17:40:38
AB-1-00182,9.26,2026-02-23 05:00:00,gotv_march,sha256:fef0e5871f9f7580,2026-07-10 17:40:38
AB-1-00183,27.07,2026-02-04 05:00:00,small_dollar,sha256:947ba6f7ad0776ce,2026-07-10 17:40:38
AB-1-00184,26.52,2026-02-07 23:00:00,small_dollar,sha256:db2c80f6a9d14613,2026-07-10 17:40:38
AB-1-00185,261.21,2026-01-19 07:00:00,small_dollar,sha256:70fd9ef7c1b582d8,2026-07-10 17:40:38
AB-1-00186,5.29,2026-03-13 11:00:00,fundraising_2026,sha256:b48eb34399cd5c89,2026-07-10 17:40:38
AB-1-00187,25.86,2026-01-16 14:00:00,gotv_march,sha256:fabaa59505e38a61,2026-07-10 17:40:38
AB-1-00188,5.17,2026-03-23 11:00:00,small_dollar,sha256:ee036806839f9a9e,2026-07-10 17:40:38
AB-1-00189,94.43,2026-03-13 10:00:00,fundraising_2026,sha256:d8d4a9a2382fe8d2,2026-07-10 17:40:38
AB-1-00190,25.75,2026-03-01 22:00:00,fundraising_2026,sha256:306dc82334d99b0b,2026-07-10 17:40:38
AB-1-00191,46.16,2026-01-05 09:00:00,volunteer_drive,sha256:1a6d23e382a79c89,2026-07-10 17:40:38
AB-1-00192,48.71,2026-01-18 12:00:00,small_dollar,sha256:dfef5b96875705be,2026-07-10 17:40:38
AB-1-00193,229.95,2026-01-20 13:00:00,small_dollar,sha256:31629b9d50487a68,2026-07-10 17:40:38
AB-1-00194,243.53,2026-02-05 01:00:00,small_dollar,sha256:6596d771609557f3,2026-07-10 17:40:38
AB-1-00195,5.48,2026-01-31 11:00:00,gotv_march,sha256:411d628b1d90d5e6,2026-07-10 17:40:38
AB-1-00196,4.9,2026-03-24 11:00:00,volunteer_drive,sha256:e067dcf7fddb451f,2026-07-10 17:40:38
AB-1-00197,235.61,2026-02-28 02:00:00,fundraising_2026,sha256:9bb6f20cdb5e6bc9,2026-07-10 17:40:38
AB-1-00198,10.57,2026-02-12 07:00:00,volunteer_drive,sha256:506f901104f16ed4,2026-07-10 17:40:38
AB-1-00199,94.32,2026-03-12 06:00:00,volunteer_drive,sha256:867a1c54ee043dc6,2026-07-10 17:40:38
AB-1-00200,4.78,2026-01-19 19:00:00,volunteer_drive,sha256:f696cefc152a4721,2026-07-10 17:40:38
AB-1-00201,9.22,2026-03-11 08:00:00,fundraising_2026,sha256:41dbbd21e3e2cd03,2026-07-10 17:40:38
AB-1-00202,96.48,2026-02-15 07:00:00,volunteer_drive,sha256:1620ef43b3056a0d,2026-07-10 17:40:38
AB-1-00203,50.26,2026-01-17 23:00:00,fundraising_2026,sha256:6841eb79162ac272,2026-07-10 17:40:38
AB-1-00204,92.18,2026-02-16 16:00:00,volunteer_drive,sha256:69c206f25ea4779d,2026-07-10 17:40:38
AB-1-00205,251.07,2026-01-06 23:00:00,small_dollar,sha256:91f9b1a48b6bcaf6,2026-07-10 17:40:38
AB-1-00206,53.47,2026-01-04 01:00:00,small_dollar,sha256:e515a4afe762a31b,2026-07-10 17:40:38
AB-1-00207,45.73,2026-03-04 22:00:00,fundraising_2026,sha256:94eb75525561b99b,2026-07-10 17:40:38
AB-1-00208,9.55,2026-01-19 02:00:00,gotv_march,sha256:47f38261aaec9ffe,2026-07-10 17:40:38
AB-1-00209,24.77,2026-03-18 16:00:00,small_dollar,sha256:6dc263197d5808cb,2026-07-10 17:40:38
AB-1-00210,257.55,2026-03-31 03:00:00,volunteer_drive,sha256:4210196e471a9973,2026-07-10 17:40:38
AB-1-00211,26.64,2026-01-30 13:00:00,small_dollar,sha256:364c7e6ab9e2c7ba,2026-07-10 17:40:38
AB-1-00212,48.13,2026-01-13 10:00:00,gotv_march,sha256:0931d25faca31ef4,2026-07-10 17:40:38
AB-1-00213,45.67,2026-01-20 21:00:00,fundraising_2026,sha256:81eddd17a1758f6e,2026-07-10 17:40:38
AB-1-00214,243.63,2026-01-13 23:00:00,volunteer_drive,sha256:03506e8ed3e95a0f,2026-07-10 17:40:38
AB-1-00215,96.59,2026-03-17 17:00:00,fundraising_2026,sha256:39c12a695067855a,2026-07-10 17:40:38
AB-1-00216,227.57,2026-03-27 13:00:00,gotv_march,sha256:d479b499b1a6fc4f,2026-07-10 17:40:38
AB-1-00217,100.15,2026-02-15 03:00:00,volunteer_drive,sha256:c3de1fa8b8c3707b,2026-07-10 17:40:38
AB-1-00218,26.73,2026-01-29 03:00:00,gotv_march,sha256:ba1f691d6c1f3ac3,2026-07-10 17:40:38
AB-1-00219,10.61,2026-02-05 18:00:00,fundraising_2026,sha256:3717e79bc877d8ed,2026-07-10 17:40:38
AB-1-00220,22.64,2026-03-26 22:00:00,gotv_march,sha256:0a11e4b326452dc3,2026-07-10 17:40:38
AB-1-00221,22.53,2026-02-09 10:00:00,volunteer_drive,sha256:576bfa90e7bc47a8,2026-07-10 17:40:38
AB-1-00222,10.48,2026-02-21 02:00:00,fundraising_2026,sha256:7e6e7d17322e01bf,2026-07-10 17:40:38
AB-1-00223,49.2,2026-03-09 06:00:00,gotv_march,sha256:62f94b28a5ccbb5e,2026-07-10 17:40:38
AB-1-00224,26.38,2026-02-09 23:00:00,fundraising_2026,sha256:a6b622e2a0c5770d,2026-07-10 17:40:38
AB-1-00225,91.0,2026-01-20 05:00:00,fundraising_2026,sha256:2988a8450ada6f71,2026-07-10 17:40:38
AB-1-00226,51.07,2026-03-26 13:00:00,small_dollar,sha256:2d43ee451a872f37,2026-07-10 17:40:38
AB-1-00227,24.65,2026-03-07 03:00:00,gotv_march,sha256:0db09fad7046b1ad,2026-07-10 17:40:38
AB-1-00228,103.34,2026-03-17 15:00:00,fundraising_2026,sha256:7fe5733849fb2f65,2026-07-10 17:40:38
AB-1-00229,4.7,2026-03-18 01:00:00,volunteer_drive,sha256:c00471c4e1d12123,2026-07-10 17:40:38
